	时间	踩	赞	评分	所看话数	内容
好睡的妖	1539231795	0	0	10	13	这部番真的超好看！不管是冒失经常迷路的红细胞，沉默实力宠妻的白细胞，笑容满面的巨噬细胞，还是暴力兄贵的T细胞，活力满满的B细胞，腹黑的树状细胞，萌萌哒的血小板等等，都让人很印象深刻，希望能有下一部出来
kona酱丶	1539229144	0	0	10	8	挺好看的，就是这个强制评论我关不掉
好大一颗忘忧糖吖	1539228868	0	0	10	13	谢谢让我遇到白赤那么好吃的cp
给你讲我就叫这个	1539225879	0	0	10	13	点燃了我久违的生物知识( ????? )
TF1241	1539224234	0	0	10	13	非常值得一看番，科普了很多知识，寓教于乐，加油＾０＾~
MrDAISY_WANG	1539223059	0	0	10	13	太好看啦啊啊啊啊啊!!!!!没看够啊啊啊啊啊啊啊!!!!!!
智代的樱花树	1539220462	0	0	10	13	看就完事了
清水不果腹	1539220305	0	0	10	12	看完表示出中文配音可以给自己孩子看看。
菠萝萝白	1539219759	0	0	10	13	温暖又感动。
初懿	1538898409	4	0	10	13	这么好的创意 为什么再不多出几集(? ?︿ ??)
叶樱w	1538476737	9	0	10	13	是来学生物的哦(严肃脸x 讲真生物知识在高中以上 才不是来看血小板和磕红白糖的呢(x 不过 到最后竟然泪目了呢 每一个细胞真的都在好努力好拼命地维护这个身体的稳态呢 所以呀 如果可以的话 请好好活着哦
NC小马	1537094747	1	0	10	13	各位生物学家们，你们生物成绩是否因为这部番而提高了10分呢嘻嘻嘻
木木0108	1539212299	0	0	10	12	我也是一名医学生，从来没追过番，工作细胞是我第一部追的并且追完的番(*^ω^*)
安全的伪像	1539201243	0	0	10	13	快出第二季吧，哇咔咔(??｀*)
雾雾家的蓝白条纹胖次	1539197595	0	0	10	13	寓教于乐，很棒，加油
BL小夜	1539190940	0	0	10	13	这个动漫非常棒！本来就喜欢生物，这个动漫也帮助了不少，总之，感谢陪伴，感谢相遇。
就是咯您来咯虹魔咯莫空间	1539190049	0	0	10	13	超好看(??ω??)?
一瓶98年的老干妈	1539189176	0	0	10	13	科普动漫好评，还有我就想知道这个是怎么了
尼克里	1539189080	0	0	10	13	很好看！
蹦蹦跳跳停不下来	1539188989	0	0	10	13	搞笑又不失理性，科普中又带有趣味。一部十分优秀的番剧
暗夜的精灵使	1539188803	0	0	10	1	不错哦
白濯玉	1539187994	0	0	10	13	完结撒花。舍不得白哥和大家，qwq谢谢你们这么努力，我也会努力保护自己身体的。
大大大小学生	1539186961	0	0	10	13	很有意义的动漫啊
LittleMegan酱	1539186605	0	0	10	13	能把复杂的生物知识转化成动漫形式，优秀！
北辰天罡星	1539186203	0	0	10	11	不错，比那些校园青春恋爱的好多了
刘昊然小李子我选谁	1539186126	0	0	10	13	好看，既搞笑又感人，同时还起到了科普的作用，在讲故事的同时告诉身体知识，非常有趣又好看的番
最强萌王	1539185713	0	0	10	13	很好看，非常有教育意义，希望出第二季
木之香	1539184794	0	0	10	5	我是文科生，但是从小就喜欢看各种科普，尤其喜欢生物。这部番光看每一回的名字就引起了我追的欲望，用有趣的方式让更多人了解生物知识真是很棒呢。生命神秘而神奇，这样的故事，还有很多很多。而你，又想到什么呢？
无敌江	1539184352	0	0	10	13	太精彩了，愉悦感动萌点日常并存的神番，还能学到人体知识哦！
余亲木	1539184288	0	0	10	13	让我知道，劳资并不孤独。。
复活的变态天才少女	1539183443	0	0	10	13	镇站之宝新篇章
C-Ryan-Q	1539182153	0	0	8	12	体彩很新颖
涂山苏苏か	1539180652	0	0	10	13	特别好看的番剧，5星好评
少妇爱少女	1539180265	0	0	10	13	很有意思的科普动画，人物自带萌点，喜欢！突然觉得要好好运动了耶
永恒疾风命运	1539180087	0	0	10	13	《工作细胞》十分好看。用可爱的动画来教授十分有益的知识，也让我们可以更好的了解自己的身体，希望这一类的番可以多出点。
还我那包忧伤的辣条	1539179453	0	0	10	13	好评好评好评
moyuxiao	1539178180	0	0	10	13	日常暖心，很喜欢，也很暖
蘸星点天衣	1539176667	0	0	8	5	可以说是非常的寓教于乐了
C_ying_	1539175651	0	0	10	13	完结撒花~~一开始看这部番，觉得作者的想法很新奇，很有创意呀~~然后慢慢看下去，满满的感动，感动身体里有这么多努力工作的细胞呢！！！炒鸡棒的一部番
轻吟-	1539174797	0	0	8	13	从来没追过日漫的我，人生中第一次追完了一部，真的特别好，又有趣又有科普，希望能有第二部
阿正是个小可怜	1539173673	0	0	8	13	学药的表示很受用了。。。啊啊啊啊啊，癌细胞好帅
步迈太大必扯蛋	1539173250	0	0	10	13	超喜欢这部动漫啊，期待第二部，如果我的外科书也能变得这么可爱我会开心死的，动漫带着知识让我的小妹妹也学到了很多啊，就喜欢这种带有普及知识的动漫了，学习休闲两不误，哈哈哈
CCVG007	1539173201	0	0	10	13	很不错的一部番，赞
空城丿厮守	1539173186	0	0	10	13	原来，我并不孤独呐(*^__^*)
萌玥Clover	1539172219	0	0	10	13	表白白赤表白全员！感谢大家的陪伴！虽然是文科生但还是超爱这部番啊！！！
小林家的尾巴肉-	1539171232	0	0	8	4	科普番好评
