SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000172,呼和浩特,内蒙古,4A,111.691507,昭君博物院,40.712193,,古迹遗址
1000173,呼伦贝尔,内蒙古,,120.090449,哈克遗址博物馆,49.224932,,博物馆
1000174,赤峰,内蒙古,,119.280766,荣宪公主墓,44.203431,,
1000175,鄂尔多斯,内蒙古,4A,109.438476,恩格贝生态旅游区,40.40469,,草原沙漠
1000177,兴安盟,内蒙古,,119.951619,梦幻阿尔山剧场,47.179487,128,民俗风情
1000178,通辽,内蒙古,,122.26661,大乐林寺,43.637882,,宗教祈福
1000179,呼伦贝尔,内蒙古,,119.106095,白音乌拉游牧人家,49.297566,,田园度假
1000180,通辽,内蒙古,4A,123.333146,通辽市孝庄园文化旅游区,44.132389,,
1000181,呼和浩特,内蒙古,,111.660351,乌素图召,40.828319,,湖光山色
1000182,赤峰,内蒙古,,117.5377957576,黄岗梁国家森林公园,43.5953414602,,田园度假
1000183,呼和浩特,内蒙古,,111.688062,木子塘汗蒸生活馆,40.863598,,温泉
1000184,锡林郭勒盟,内蒙古,4A,112.02525,二连浩特国家地质公园,43.728267,,
1000185,呼伦贝尔,内蒙古,,117.364283,满洲里中俄互市贸易旅游区,49.634307,,
1000187,呼和浩特,内蒙古,,111.304435,喇嘛洞召,40.805893,,
1000188,通辽,内蒙古,4A,122.191554,大青沟国家级自然保护区,42.828182,,田园度假
1000189,锡林郭勒盟,内蒙古,,116.136948,白音查干敖包,44.078961,,草原沙漠
1000190,呼伦贝尔,内蒙古,3A,120.676138,海拉尔西山森林公园,49.276334,,
1000191,呼和浩特,内蒙古,,111.726662,碧海云天大浴场（幸福小区店）,40.849707,,温泉
1000192,鄂尔多斯,内蒙古,,108.791049,萨拉乌苏遗址,37.983694,,古迹遗址
1000193,呼和浩特,内蒙古,,111.574498,内蒙古伊利工业园区,40.800622,,主题乐园
1000195,呼和浩特,内蒙古,,111.745222,一带一路，交响组曲,40.845798,,赛事演出
1000196,乌海,内蒙古,,106.790918,乌海湖国家水利风景区,39.634761,65,湖光山色
1000197,锡林郭勒,内蒙古,,116.668522,白音部落冰雪世界,42.124149,,
1000198,阿拉善盟,内蒙古,,102.443856,海森楚鲁怪石城,40.186229,,
1000199,阿拉善盟,内蒙古,,102.443856,曼德拉山岩画,40.186229,,
1000200,呼伦贝尔,内蒙古,,116.821845,孛儿帖景区,48.67105,,
1000201,呼伦贝尔,内蒙古,,120.042882,侵华日军海拉尔要塞北山遗址,49.279245,,古迹遗址
