rooms,area,floors,location,nearbySubway,price
9,195.0,4,雨花,0,13076
6,92.0,17,雨花,0,9891
6,89.2,24,岳麓,0,11434
9,167.0,3,岳麓,0,11676
8,134.0,6,雨花,1,8656
7,112.0,18,雨花,1,11607
7,90,18,岳麓,0,14666
6,90.0,33,雨花,1,12444
5,94.0,26,星沙,0,8382
6,117.0,33,开福,0,10000
3,49.0,26,岳麓,0,7551
3,32.0,31,岳麓,0,10000
8,161.0,6,星沙,0,7950
7,105.0,18,雨花,0,7333
6,93.0,30,雨花,0,11827
8,150.0,26,雨花,0,12533
6,91.0,28,雨花,0,10417
7,117.0,30,雨花,0,9726
6,100.3,33,岳麓,0,11565
7,133.9,16,岳麓,1,11351
5,88.0,18,长沙周边,0,8295
8,152.0,23,开福,1,11381
5,83.2,18,岳麓,0,9375
7,128.0,30,雨花,0,10312
7,134.0,26,雨花,1,11044
7,139.0,28,雨花,0,12086
7,148.0,30,雨花,0,10810
5,82.28,32,芙蓉,1,10452
6,85.0,32,雨花,0,11176
7,118.0,33,雨花,0,9745
7,133.0,6,长沙周边,0,5172
8,144.0,30,岳麓,0,8888
5,70.28,29,开福,1,11098
3,47.0,29,开福,1,12723
3,36.88,32,开福,1,10032
5,79.0,31,星沙,0,7949
6,106.0,25,天心,1,9716
8,144.0,11,雨花,0,9652
6,140.0,32,开福,1,12000
5,114.0,30,雨花,0,10526
7,120.0,33,天心,1,12500
5,100.0,30,雨花,1,11000
6,114.0,30,雨花,0,10526
3,41.0,28,开福,1,13902
5,43.0,21,雨花,1,12790
6,90.5,33,岳麓,1,10000
6,90.5,33,岳麓,0,6464
4,57.0,21,雨花,1,15614
7,120.0,23,岳麓,0,14833
5,93.0,28,开福,1,9677
8,105.0,18,天心,1,12571
7,121.0,6,雨花,0,7851
12,289.0,1,星沙,0,11349
6,97.0,33,岳麓,0,12164
5,78.0,35,岳麓,0,15384
7,136,18,雨花,1,10882
7,144.0,33,开福,1,11250
3,40.0,30,岳麓,0,9000
6,96.0,33,星沙,0,8333
5,92.0,33,星沙,0,6826
7,125.0,30,雨花,0,9440
7,89.0,28,雨花,0,12359
8,193.0,30,雨花,0,8704
5,65.0,28,雨花,0,11846
7,108.0,18,雨花,1,10185
7,123.0,32,岳麓,0,15447
7,115.0,11,长沙周边,0,7200
6,89.0,18,开福,1,11797
7,138.0,33,开福,1,9492
3,35.0,11,雨花,0,13714
7,125.0,6,雨花,1,9840
4,37.76,21,芙蓉,1,16419
7,122.0,5,芙蓉,1,14344
5,77.0,34,岳麓,0,6493
5,63.0,7,天心,1,9492
7,120.0,32,星沙,0,6833
7,139,33,雨花,1,12589
7,138.0,18,雨花,1,11449
5,71.0,6,岳麓,1,8591
7,131.56,15,岳麓,1,8589
5,78,6,岳麓,1,9102
7,108.0,32,星沙,0,8888
7,100.0,18,雨花,0,10600
5,76.5,18,开福,1,11633
7,117.0,6,天心,0,6666
5,80.0,7,芙蓉,1,8125
6,89.0,9,天心,0,7640
6,89.0,6,天心,0,4921
6,74.13,7,芙蓉,1,9415
10,108.0,7,芙蓉,1,9259
7,126.0,18,雨花,1,10714
6,89.0,18,岳麓,0,14157
6,92.0,7,雨花,0,7065
7,112.0,34,芙蓉,1,13392
8,144,11,雨花,0,9583
10,413.0,3,天心,0,14043
10,188.0,5,天心,1,17819
6,92.0,17,雨花,0,10326
4,87.0,30,芙蓉,1,8022
3,60.0,29,芙蓉,1,11633
3,62.0,30,雨花,0,9677
7,111.0,6,岳麓,0,8990
7,130.0,35,雨花,0,9000
7,136.0,32,芙蓉,1,13088
6,80,33,岳麓,1,11000
8,130.82,36,芙蓉,1,14141
3,39.0,32,星沙,0,7435
6,89.0,33,星沙,0,8292
5,73.0,6,雨花,0,8493
3,63.0,32,星沙,0,6666
6,103.0,32,天心,1,12407
5,82.0,17,岳麓,1,9634
2,61.0,29,天心,1,10000
6,88.0,33,岳麓,0,11704
8,151.0,17,岳麓,0,16423
8,132.0,30,星沙,0,7712
6,99.0,6,雨花,0,8080
6,99.0,18,星沙,0,8282
